structurename:(posx,posy):(append_len_x,append_len_y)
horizontal_wall:0,0:20,0
vertical_wall:5,5:0,8
vertical_wall:7,5:0,2
vertical_wall:12,5:0,2
horizontal_wall:9,5:2,0
horizontal_wall:9,7:2,0
vertical_wall:14,5:0,8
vertical_wall:3,2:0,16
vertical_wall:16,2:0,16
vertical_wall:0,1:0,18
vertical_wall:19,1:0,18
horizontal_wall:0,19:20,0
horizontal_wall:5,3:10,0
horizontal_wall:5,14:10,0
horizontal_wall:5,16:10,0
horizontal_wall:7,12:6,0
horizontal_wall:18,4:1,0
horizontal_wall:18,2:1,0
horizontal_wall:18,6:1,0
horizontal_wall:18,8:1,0
horizontal_wall:18,10:1,0
horizontal_wall:18,12:1,0
horizontal_wall:18,14:1,0
horizontal_wall:18,16:1,0
horizontal_wall:18,18:1,0
horizontal_wall:1,4:1,0
horizontal_wall:1,2:1,0
horizontal_wall:1,6:1,0
horizontal_wall:1,8:1,0
horizontal_wall:1,10:1,0
horizontal_wall:1,12:1,0
horizontal_wall:1,14:1,0
horizontal_wall:1,16:1,0
horizontal_wall:1,18:1,0
vertical_wall:5,1:0,1
vertical_wall:7,1:0,1
horizontal_wall:9,1:2,0
vertical_wall:12,1:0,1
vertical_wall:14,1:0,1
vertical_wall:5,18:0,1
vertical_wall:7,18:0,1
horizontal_wall:9,18:2,0
vertical_wall:12,18:0,1
vertical_wall:14,18:0,1
